st_cd,h1a_violtn_cnt,h1a_cmp_assd_amt,rank_violation,rank_penalty
IL,119,40000.0,1.0,1.0
AK,0,0.0,2.0,2.0
MT,0,0.0,2.0,2.0
ND,0,0.0,2.0,2.0
NE,0,0.0,2.0,2.0
NH,0,0.0,2.0,2.0
NJ,0,0.0,2.0,2.0
NM,0,0.0,2.0,2.0
NV,0,0.0,2.0,2.0
NY,0,0.0,2.0,2.0
OH,0,0.0,2.0,2.0
OK,0,0.0,2.0,2.0
OR,0,0.0,2.0,2.0
PA,0,0.0,2.0,2.0
PR,0,0.0,2.0,2.0
RI,0,0.0,2.0,2.0
SC,0,0.0,2.0,2.0
SD,0,0.0,2.0,2.0
TN,0,0.0,2.0,2.0
TX,0,0.0,2.0,2.0
UT,0,0.0,2.0,2.0
VA,0,0.0,2.0,2.0
VI,0,0.0,2.0,2.0
VT,0,0.0,2.0,2.0
WA,0,0.0,2.0,2.0
WI,0,0.0,2.0,2.0
WV,0,0.0,2.0,2.0
NC,0,0.0,2.0,2.0
MS,0,0.0,2.0,2.0
AL,0,0.0,2.0,2.0
HI,0,0.0,2.0,2.0
AR,0,0.0,2.0,2.0
AS,0,0.0,2.0,2.0
AZ,0,0.0,2.0,2.0
CA,0,0.0,2.0,2.0
CO,0,0.0,2.0,2.0
CT,0,0.0,2.0,2.0
DC,0,0.0,2.0,2.0
DE,0,0.0,2.0,2.0
FL,0,0.0,2.0,2.0
GA,0,0.0,2.0,2.0
GU,0,0.0,2.0,2.0
IA,0,0.0,2.0,2.0
MP,0,0.0,2.0,2.0
ID,0,0.0,2.0,2.0
IN,0,0.0,2.0,2.0
KS,0,0.0,2.0,2.0
KY,0,0.0,2.0,2.0
LA,0,0.0,2.0,2.0
MA,0,0.0,2.0,2.0
MD,0,0.0,2.0,2.0
ME,0,0.0,2.0,2.0
MI,0,0.0,2.0,2.0
MN,0,0.0,2.0,2.0
MO,0,0.0,2.0,2.0
WY,0,0.0,2.0,2.0
