h2a_violtn_cnt,h2a_cmp_assd_amt,st_cd,trade_nm,zip_cd
180,40800.0,NY,Forking Paths Vineyards Inc. and Assoc.,14456.0
161,846.0,NY,Cahoon Farms,14590.0
122,635.0,NY,Lakeview Orchards,14028.0
121,2900.0,NY,Pavero Cold Storage,12528.0
112,19944.0,NY,"Bland Farms Production and Packing, LLC",13033.0
94,9950.0,NY,Schreiber Orchards,12547.0
93,0.0,NY,Kurt Weiss Greenhouses,11934.0
90,1955.4,NY,Intergrow Greenhouses Inc.,14411.0
87,54450.0,NY,Yonder Farm,12184.0
83,5925.0,NY,Pavero Cold Storage,12528.0
